"route_id","route_id(nm)","route_type","st_sta_id","ed_sta_id","company_nm","phonenumber","first_time","last_time"
"234001059","36-8","13","234000943","237000843","경기고속","02-455-2114","0750","1635"
"234001182","28-53","13","230001441","230001365","경기고속","02-455-2114","0805","0805"
"234001220","20-61","13","237000967","230001365","경기고속","02-455-2114","0715","2030"
"234001288","23-82","13","230000150","230000562","경기고속","02-455-2114","2010","2010"
"234001300","919","13","237000666","237000940","대원고속","02-455-2114","0705","1520"
"234001370","994-1","13","237000327","237000111","대원고속","02-455-2114","1510","1510"
"234001375","924","13","237000327","237000813","경기고속","02-455-2114","0700","2040"
"234001396","974","13","237000327","237001429","대원고속","02-455-2114","0955","0955"
"234001406","923-1","13","237000327","237000470","대원고속","02-455-2114","1320","1900"
"234001407","923-2","13","237000327","237000470","대원고속","02-455-2114","1515","2050"
"234001409","929-3","13","237000327","500000106","대원고속","02-455-2114","0930","0930"
"234001412","925-1","13","237000327","237000832","대원고속","02-455-2114","0720","1050"
"234001441","983-1","13","237000327","237001346","대원고속","02-455-2114","0930","0930"
"234001446","912-2","13","237000327","237001218","대원고속","02-455-2114","0850","0850"
"237000070","972","13","237000160","237000324","대원고속","02-455-2114","",""
"237000083","991","13","237000327","237001309","경기고속","02-455-2114","1235","2035"
"237000083","991","13","237000327","237001309","대원고속","02-455-2114","1235","2035"
"237000101","950","13","237000666","237001162","대원고속","02-455-2114","1045","2050"
"241000280","8439","11","218500050","237500010","시외-경기고속","02-455-2114","",""
"241001480","8417","11","206500060","237500040","시외-경기고속","02-455-2114","",""
"241004750","8218","11","201508510","251500060","","","0900","2000"
"234001548","981-5","13","237000327","237000122","","","0940","0940"
"234001514","961-5","13","237000666","237001147","","","0800","0800"
"234001479","911-5","13","237000327","237000284","","","0940","1240"
"240000071","2-6","13","240000076","240000809","","","0715","0715"
"234001486","971-1","13","237000327","237000170","","","1835","1835"
"241004790","8211","11","228525220","251500060","","","0830","2120"
"234001481","918-4","13","237000327","237001210","","","0750","0750"
"234001554","918-6","13","237000327","237001435","","","1935","1935"
"234001480","918-3","13","237000327","237000300","","","",""
"230000143","20-62","13","237000967","230001365","경기고속","02-455-2114","0825","0825"
"234000446","28-11","13","230001441","237000812","경기고속","02-455-2114","",""
"234000489","36-2","13","234000943","240000350","경기고속","02-455-2114","0650","0650"
"234000512","25-8","13","230000249","237000427","대원고속","02-455-2114","0700","1630"
"234001086","23-21","13","237000878","237000689","경기고속","02-455-2114","",""
"234001088","23-70","13","237000683","230000150","대원고속","02-455-2114","",""
"234001185","28-90","13","230001441","230000215","경기고속","02-455-2114","",""
"234001186","28-91","13","237000804","230000043","경기고속","02-455-2114","",""
"234001209","23-12","13","237001274","237000687","경기고속","02-455-2114","",""
"234001219","28-17","13","230000251","230000245","대원고속","02-455-2114","",""
"234001304","930-1","13","237000666","237000813","경기고속","02-455-2114","0710","1350"
"234001383","962-1","13","237000666","237000879","대원고속","02-455-2114","1630","1630"
"234001399","974-2","13","237000327","237001429","대원고속","02-455-2114","1615","1615"
"234001404","964-1","13","237000666","237001070","대원고속","02-455-2114","1420","1420"
"234001410","925","13","237000327","237000832","대원고속","02-455-2114","1235","2105"
"234001431","988-4","13","237000327","240001134","대원고속","02-455-2114","1320","1320"
"234001440","980-1","13","237000327","237000093","대원고속","02-455-2114","1420","1850"
"234001443","987-3","13","237000327","240000134","경기고속","02-455-2114","1210","1210"
"237000031","987-6","13","237000327","240000136","대원고속","02-455-2114","1920","1920"
"237000066","970-1","13","237000666","237000007","대원고속","02-455-2114","0815","1410"
"237000087","929-1","13","237000327","500000106","대원고속","02-455-2114","1130","1130"
"237000097","939","13","237000813","230001365","대원고속","02-455-2114","0840","1945"
"240000070","1-1","13","240000076","237000980","금강고속","031-772-2341","0830","2050"
"241000460","8133","11","104000289","237500010","시외-경기고속","02-455-2114","",""
"241000910","1004","11","104000289","237001238","시외-경기고속","02-455-2114","",""
"234001499","953-3","13","237000666","237001131","","","1830","1830"
"234001504","966-1","13","237000666","237000378","","","1740","1740"
"234001487","971-2","13","237000327","237000170","","","2010","2010"
"234001497","955-1","13","237000666","237000957","","","1105","1540"
"234001550","950-3","13","237000666","237000348","","","0910","1255"
"234001502","965","13","237000666","237001144","","","0855","0855"
"234001496","953-4","13","237000666","237000497","","","2050","2050"
"234001503","966","13","237000666","237000795","","","0800","0800"
"234001556","918-9","13","237001368","237001435","","","0715","0715"
"231000094","37","13","231000302","237000980","백성운수","031-673-3456","0600","2120"
"234000415","982","13","237001368","237001186","경기고속","02-455-2114","",""
"234000695","983-2","13","237000327","237000081","대원고속","02-455-2114","0805","0805"
"234000768","23-4","13","230000150","237000399","경기고속","02-455-2114","",""
"234001211","23-41","13","230000150","237000398","경기고속","02-455-2114","",""
"234001274","987-2","13","240000944","237000324","경기고속","02-455-2114","",""
"234001294","912","13","237000327","237001218","대원고속","02-455-2114","1925","2035"
"234001302","928","13","237000327","230000249","경기고속","02-455-2114","0700","2025"
"234001314","916","13","237000327","237000242","경기고속","02-455-2114","0635","2145"
"234001315","917","13","237000327","237000616","경기고속","02-455-2114","0715","2015"
"234001373","935","13","237000327","237000813","대원고속","02-455-2114","0645","1920"
"234001403","961-1","13","237000666","237000739","대원고속","02-455-2114","1140","1640"
"234001432","988-7","13","237000327","240001134","경기고속","02-455-2114","1900","1900"
"237000059","961","13","237000666","237000741","대원고속","02-455-2114","1000","1000"
"237000061","963","13","237000871","237000324","대원고속","02-455-2114","",""
"237000071","972-1","13","237000327","237000170","대원고속","02-455-2114","0830","0830"
"237000077","981","13","237000327","237000122","대원고속","02-455-2114","1600","1800"
"237000085","992-1","13","237000327","237001247","경기고속","02-455-2114","0646","0646"
"237000098","951","13","237000492","237000324","대원고속","02-455-2114","",""
"237000100","953","13","237000666","237000328","대원고속","02-455-2114","0810","0810"
"240000055","4-1","13","240000076","237000770","금강고속","031-772-2341","0730","0730"
"240000068","1-8","13","237000169","237000023","금강고속","031-772-2341","0710","1740"
"240000075","1","13","240000076","237000980","금강고속","031-772-2341","0750","2130"
"241002150","8436","11","207510280","230518760","시외-경기고속","02-455-2114","",""
"241002540","8831","11","165000808","230518760","시외-경기고속","02-455-2114","",""
"241004210","8463","11","201508510","240516680","시외-경기고속","02-455-2114","",""
"234001485","971","13","237000327","237000170","","","0830","1450"
"234001543","930-4B","13","237000813","237000661","","","",""
"234001541","924A","13","237000327","237000813","","","",""
"234001515","971-3","13","237000327","237000169","","","1130","1130"
"234001500","961-2","13","237000666","237000760","","","1255","1255"
"230000140","28-81","13","237000891","230000951","대원고속","02-455-2114","",""
"234000438","23-81","13","230000454","230001077","경기고속","02-455-2114","0730","0730"
"234000495","36-4","13","234000943","237000895","경기고속","02-455-2114","0700","0700"
"234000771","23-7","13","230000150","237000683","대원고속","02-455-2114","1735","1735"
"234001000","36-3","13","234000943","237000704","경기고속","02-455-2114","0620","1350"
"234001100","23-50","13","237000399","230000265","경기고속","02-455-2114","",""
"234001211","23-41","13","230000150","237000398","대원고속","02-455-2114","",""
"234001217","25-81","13","230000250","230000103","대원고속","02-455-2114","",""
"234001252","36-15","13","240000076","240000370","경기고속","02-455-2114","",""
"234001293","911-2","13","237000327","237000158","대원고속","02-455-2114","1720","1950"
"234001310","990","13","237000327","237001404","경기고속","02-455-2114","1750","1750"
"234001379","952-1","13","237000666","237000808","대원고속","02-455-2114","1240","1240"
"234001421","911-4","13","237000327","237000300","경기고속","02-455-2114","",""
"234001428","989","13","237000327","240000410","경기고속","02-455-2114","0750","0750"
"234001434","989-5","13","237000327","240000410","경기고속","02-455-2114","",""
"234001442","981-3","13","237000327","237000135","대원고속","02-455-2114","0000","0000"
"237000047","920","13","237000327","237001105","경기고속","02-455-2114","",""
"237000086","993","13","237000327","237000278","경기고속","02-455-2114","0710","2100"
"237000099","952","13","237000666","237000493","대원고속","02-455-2114","1125","1125"
"240000064","1-2","13","240000076","237000980","금강고속","031-772-2341","0930","1930"
"241002600","9335","11","165000808","281500030","시외-경기고속","02-455-2114","",""
"241004860","8423","11","201508510","237500040","시외-경남여객","031)251-3721","0700","2030"
"240000098","5-7","13","240000076","237000170","","","1820","1820"
"234001506","912-3","13","237000327","237000538","","","0745","0745"
"234001489","972-3","13","237000327","237000170","","","1645","1645"
"234001488","972-2","13","237000327","237001384","","","1230","1230"
"230000117","20-9","13","237000967","231001314","경기고속","02-455-2114","1635","1645"
"234000367","989-2","13","237000327","240000410","경기고속","02-455-2114","1500","1500"
"234000462","23-8","13","230000150","230000276","경기고속","02-455-2114","",""
"234000765","23-13","13","230000252","237000904","경기고속","02-455-2114","0815","0815"
"234000766","23-32","13","230000150","237000895","경기고속","02-455-2114","0925","1735"
"234000769","23-5","13","230000150","237000729","경기고속","02-455-2114","",""
"234000999","36","13","234000943","240000072","경기고속","02-455-2114","0735","1615"
"234001085","23-20","13","230000150","237001275","경기고속","02-455-2114","0855","1855"
"234001088","23-70","13","237000683","230000150","경기고속","02-455-2114","",""
"234001186","28-91","13","237000804","230000043","대원고속","02-455-2114","",""
"234001209","23-12","13","237001274","237000687","대원고속","02-455-2114","",""
"234001224","23-80","13","230001413","230000257","경기고속","02-455-2114","",""
"234001297","915","13","237000327","237001289","경기고속","02-455-2114","0830","1950"
"234001299","918-1","13","237000327","237000973","대원고속","02-455-2114","0850","1840"
"234001386","912-1","13","237000327","237001218","경기고속","02-455-2114","1550","1550"
"234001388","952-3","13","237000666","237000493","대원고속","02-455-2114","1850","1850"
"234001405","981-2","13","237000121","237000327","대원고속","02-455-2114","",""
"234001411","924-2","13","237000327","237000458","경기고속","02-455-2114","",""
"234001419","913-4","13","237000327","237000230","경기고속","02-455-2114","1620","1930"
"234001427","989-1","13","237000327","240000410","경기고속","02-455-2114","1030","1030"
"234001430","988-5","13","237000327","240001134","경기고속","02-455-2114","1620","1620"
"234001444","987-4","13","237000327","240000134","대원고속","02-455-2114","1710","1710"
"237000052","923","13","237000327","237000470","대원고속","02-455-2114","0640","1020"
"237000053","929","13","237000327","500000106","대원고속","02-455-2114","0700","0700"
"240000067","5-5","13","240000076","237000918","금강고속","031-772-2341","0700","1910"
"240000073","1-3","13","240000076","237000980","금강고속","031-772-2341","0730","1800"
"240000077","5-1","13","240000076","237000170","금강고속","031-772-2341","0840","1010"
"241003280","1336","11","104000289","281500140","시외-경기고속","02-455-2114","",""
"241004940","8432","11","228525220","237500010","시외-경남여객","031)251-3721","0720","1750"
"234001491","994-2","13","237000327","237000121","","","1820","1820"
"234001495","953-2","13","237000666","237000497","","","1435","1435"
"240000096","5","13","237000018","240000072","","","",""
"234001513","918-5","13","237000666","237000661","","","",""
"234001501","961-3","13","237000666","237000742","","","1530","1530"
"234001490","972-4","13","237000327","237001428","","","1915","1915"
